nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
67728,De Kuiper Infra,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,33531 - KR122,Liebherr,A918,2021,120.0,Stage-IV,D,11.504142407022842,56 - 130 kW,760,562267,67728,20251112,58419,67727,4.35,0.0,,4.3,41.992,0.248257,21850,35.013277609665664,0.12725679895643593,91.96962839290697,6,0.0030305010229671353,0.029594604408473474,9.765581,0.32551936666666664,-0.48739894965122466,0.17544,0.06626413318083176,,0.02925443654170941,0.0,0.0,,0.17544,,0.0036345297454045203,0.020966796786729712,5.768778426766219,0.19229261422554064,0.21941891909219458,-0.42002813848989173,0.06572218451843616,dhi
67664,Wagenborg,Mobiele hijskraan,Torenkraan 4-asser,K9421 Boven,Spierings,SK 597-AT4,2018,103.0,Stage-IIIa,C,10.163193350546488,56 - 130 kW,1593,562042,67664,20251128,67452,67665,5.45,29.0,0.21865,5.483333,25.074,0.192905,19018,14.475250301129854,0.11263873397847121,38.02224418778042,5,0.004492252292353482,0.020542019603491384,4.572766,0.17758314563106795,-0.416092200935843,0.564783299,0.04695911111991365,0.003884094275119697,0.02066765761072866,5.3211,0.20664466019417477,-0.48484457361778543,0.564783299,0.04794687151585673,0.007781470553892895,0.021321879378681175,2.740083539609916,0.10641101124698703,0.12195053698745711,-0.07635721202231072,0.04139845941164517,fpi
304373,Boskalis,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,H220,Caterpillar,390F LRE,2020,405.0,Stage-V,D,37.83550813726526,130 - 560 kW,2489,304373,304373,20251215,,304373,,,,0.25,1.5,0.00935,839,2.2611138837463614,0.05214360976686114,5.939284118456529,0,0.03476240651124076,0.20857443906744455,6.0,0.05925925925925926,4.576856659557341,0.034425000000000004,-0.0020197242997987454,,,,,,,,0.023061027638495674,0.22373950255030414,9.702061246256726,0.09582282712352322,0.013375289972230357,2.8985031259225913,0.022726797318299855,"dhi, zwaar"
302132,Boskalis,Lader,Wiellader,S98,Volvo,L90H,2023,120.0,Stage-V,D,11.35439682295241,56 - 130 kW,2278,302132,302132,20251218,,302132,,,,8.1,0.0,,33254,75.71391908812379,0.44226948657212145,198.8782964089942,9,,0.05460117118174339,0.0,0.0,,0.33048,,,,,,,,,0.005841323390714486,0.04787905785658518,8.19661139335222,0.27322037977840735,0.45504127307586817,-0.028067314460104575,0.060366706064134655,dtc
67728,De Kuiper Infra,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,33531 - KR122,Liebherr,A918,2021,120.0,Stage-IV,D,11.504142407022842,56 - 130 kW,760,562267,67728,20251105,58419,67727,4.683333,0.0,,4.666667,42.887,0.254923,19901,34.398369837863676,0.11064862397098567,90.35444572137904,5,0.0025800038233260818,0.023710417728752802,9.19007,0.3063356666666667,-0.5659527623204432,0.19040001360000003,0.06731316047069165,,0.023626042387117394,0.0,0.0,,0.19040001360000003,,0.003216682200131189,0.020015832688167114,6.222508610689235,0.20741695368964116,0.21339147212446385,-0.4814758862226315,0.06649315705301528,dhi
67937,Heijmans,Grondwals,Trilwals,16-23-01-0005,Hamm,H120i ,2023,85.0,Stage-V,D,8.195813389018399,56 - 130 kW,1921,562829,67937,20251023,,67938,,,,0.116667,0.802,0.004914,314,0.24137571827420592,0.0031050214358228703,0.6340233370960284,0,0.003871597800277893,0.02661439340878629,6.874266,0.32349487058823534,-0.36812750593755184,0.0033716763,0.064902901887068,,,,,,,,0.012863851666701313,0.03559906257392482,2.7673719735182174,0.13022926934203377,0.001739538878680713,0.7849681164802453,0.047701992715600335,dhc
67937,Heijmans,Grondwals,Trilwals,16-23-01-0005,Hamm,H120i ,2023,85.0,Stage-V,D,8.195813389018399,56 - 130 kW,1921,562829,67937,20250826,67882,67938,0.0,0.0,,0.383333,3.065,0.018468,1776,0.936221698020565,0.0023417654930009044,2.459180274986844,0,0.0007640344185973587,0.006108958772140422,7.995659,0.37626630588235294,-0.8731987495667692,0.011078323699999998,0.07143785694517278,,,,,,0.011078323699999998,,0.0025012937618857293,0.004746825152586395,1.897747967438961,0.08930578670300993,0.007522262169311053,-0.6886886630255029,0.07202914792525887,dhc
300549,Reimert,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine 36 - 150 kW,T-30-FTG,Caterpillar,M314,2022,100.0,Stage-V,D,9.61091765226971,56 - 130 kW,2149,300549,300549,20251208,,,,,,,,,30269,116.67521379854978,0.28903731417084766,306.47162414619277,8,,,,,,,,,,,,,,,0.0024772812044715556,0.03437623970952232,13.87659973662753,0.5550639894651012,0.6720864295121691,-0.5699402614323814,0.06713703828793548,"dhi, zwaar"
303698,VolkerStaal,Heistelling,Boorstelling,507-012,Klemm,KR807,2019,245.0,Stage-IV,D,23.26454988127838,130 - 560 kW,2424,303698,303698,20251202,,303698,,,,1.45,4.5,0.03155,27871,0.15190406214181051,0.003826100964597179,0.3990074937371414,7,0.0008502446587993731,0.0026386903204118476,3.103448,0.05066853877551021,-0.878728971011183,0.12078500000000002,0.07339318793980813,,,,,,,,0.0251876145420345,0.0004942041643025549,0.019620919776972102,0.00032034154737913635,0.03953000193556578,-0.9032102004236238,0.570961819779283,boorstelling
298883,Sight,Lader,Wiellader,U21DA001,Kramer,14.5(358-01),2021,28.5,Stage-V,A,3.143538048713525,19 - 37 kW,2581,298883,298883,20260120,,,,,,,,,13410,13.172559335705508,0.1293014648639884,34.60045644952483,3,,,,,,,,,,,,,,,0.009815971336223491,0.03471180264805058,3.5362575397867135,0.4963168476893633,0.28207618671411017,-0.541608008920519,,dtc
