device_id,datekey,low_rpm_significant_hr,PercTimeSignificant,total_time_hr,usage_time_hr,Som van total_daily_fuel_ltr,PercTimeStationair
50019,20230717,0,0.00%,9.3222222167,7.992222,143.5,2.78%
50019,20230719,0,0.00%,8.6838888833,7.441944,142.5,5.59%
50019,20230720,0,0.00%,8.63555555,6.606944,117.5,2.59%
50019,20230721,0,0.00%,8.7413888833,7.413889,134.5,4.16%
50019,20230801,0,0.00%,23.9822222167,17.579167,315,0.97%
50019,20230815,0,0.00%,8.7225,7.491389,159.5,6.08%
50019,20230816,0,0.00%,9.7238888833,7.287778,119,3.75%
50019,20230817,0,0.00%,8.7722222167,7.120833,164.5,2.49%
50019,20230818,0,0.00%,8.81444445,7.009444,87.5,1.47%
50019,20230821,0,0.00%,8.815,7.778333,219.5,8.04%
50019,20230822,0,0.00%,8.7111111167,7.270833,177,3.30%
50019,20230823,0,0.00%,8.69555555,6.216667,72.5,6.33%
50019,20230824,0,0.00%,8.8161111167,7.405833,118,1.56%
50019,20230825,0,0.00%,8.64944445,7.114444,160,0.48%
50019,20230828,0,0.00%,8.76194445,7.309444,128,2.26%
50019,20230829,0,0.00%,8.7636111167,7.298889,101.5,1.92%
50019,20230830,0,0.00%,8.7725,7.334167,173.5,3.52%
50019,20230831,0,0.00%,8.72055555,7.184722,183,1.03%
50019,20230901,0,0.00%,8.7091666667,7.141667,170,0.00%
50019,20230904,0,0.00%,8.66305555,7.284167,159.5,2.35%
50019,20231004,0,0.00%,8.6016666667,6.818611,107.5,2.76%
50019,20231005,0,0.00%,8.4302777833,6.248056,100,5.37%
50019,20231006,0,0.00%,8.1252777833,5.146667,70,4.90%
50019,20231009,0,0.00%,9.1541666667,7.536944,104.5,8.86%
50019,20231010,0,0.00%,9.30694445,7.578056,114,11.69%
50019,20231011,0,0.00%,8.9291666667,7.3075,133.5,11.46%
50019,20231012,0,0.00%,9.0036111167,7.685556,119,7.57%
50019,20231017,0,0.00%,9.51444445,6.638333,151,6.54%
50019,20231020,0,0.00%,9.0916666667,6.216667,102,0.28%
50019,20231023,0,0.00%,9.1936111167,7.426944,93.5,9.94%
50019,20231024,0,0.00%,7.6938888833,4.808889,82,7.47%
50019,20231026,0,0.00%,9.3111111167,7.806111,132.5,3.95%
50019,20231030,0,0.00%,8.5533333333,7.441389,160.5,2.07%
50019,20231031,0,0.00%,8.7586111167,7.366111,122.5,6.51%
50019,20231109,0,0.00%,10.3511111167,8.065833,104,16.45%
50019,20231110,0,0.00%,8.64194445,7.141111,78,0.48%
50019,20231114,0,0.00%,7.1516666667,5.2725,65,0.97%
50019,20231128,0,0.00%,8.26305555,6.427778,96.5,1.46%
50019,20231129,0,0.00%,8.2963888833,6.218611,107.5,2.37%
50019,20231130,0,0.00%,8.3002777833,6.331111,135.5,0.54%
50019,20231201,0,0.00%,8.0341666667,6.068333,104.5,6.41%
50019,20231212,0,0.00%,6.8611111167,4.335556,59.5,12.62%
50019,20231214,0,0.00%,7.2422222167,4.351667,16,5.83%
50019,20240115,0,0.00%,8.9863888833,8.191667,90.5,3.96%
50019,20240117,0,0.00%,9.3011111167,8.216111,169.5,10.42%
50019,20240118,0,0.00%,9.35305555,8.206667,155.5,7.51%
50019,20240119,0,0.00%,9.19194445,8.131944,165.5,7.58%
50019,20240122,0,0.00%,8.7502777833,7.338056,132,2.33%
50019,20240123,0,0.00%,8.5811111167,7.482222,177,7.64%
50019,20240126,0,0.00%,10.3925,7.686944,176,0.00%
50019,20240220,0,0.00%,12.0911111167,10.157778,236.5,2.23%
50019,20240221,0,0.00%,11.1927777833,9.471111,160.5,2.30%
50019,20240222,0,0.00%,11.0572222167,9.341944,223.5,2.20%
50019,20240223,0,0.00%,11.0486111167,9.421111,206.5,4.72%
50019,20240224,0,0.00%,8.3116666667,6.718056,153,0.00%
50019,20240226,0,0.00%,7.7797222167,6.753333,0,2.09%
50019,20240227,0,0.00%,11.41194445,9.227778,207.5,6.49%
50019,20240229,0,0.00%,11.2777777833,9.591944,158.5,5.35%
50019,20240301,0,0.00%,10.9652777833,9.031389,226,7.48%
50019,20240302,0,0.00%,8.14694445,6.067222,0,3.39%
50019,20240303,0,0.00%,8.2808333333,6.127778,285,1.40%
50019,20240304,0,0.00%,10.7058333333,8.148333,183,0.21%
50019,20240307,0,0.00%,10.83694445,8.146111,159,0.84%
50019,20240311,0,0.00%,8.4722222167,7.404444,91.5,6.47%
50019,20240313,0,0.00%,10.9586111167,10.958611,179.5,2.65%
50019,20240314,0,0.00%,8.1738888833,7.11,0,10.10%
50019,20240319,0,0.00%,8.2136111167,6.593611,142,3.63%
50019,20240320,0,0.00%,8.2188888833,6.440278,153,0.79%
50019,20240321,0,0.00%,8.4597222167,6.936667,140.5,3.21%
50019,20240322,0,0.00%,8.2922222167,7.057778,120,4.12%
50019,20240325,0,0.00%,10.1911111167,8.758056,272.5,7.42%
50019,20240327,0,0.00%,9.5547222167,7.224444,195.5,3.55%
50019,20240402,0,0.00%,9.6316666667,9.178056,245.5,1.77%
50019,20240403,0,0.00%,10.3816666667,8.611667,256,0.00%
50019,20240404,0,0.00%,8.7336111167,7.566667,201,4.30%
50019,20240405,0,0.00%,8.3783333333,6.411111,79,1.87%
50019,20240412,0,0.00%,11.0325,7.598889,144.5,7.84%
50019,20240413,0,0.00%,13.3838888833,8.792778,159.5,3.33%
50019,20240417,0,0.00%,16.8627777833,14.435556,281,2.25%
50019,20240418,0,0.00%,14.3322222167,12.155556,231.5,2.39%
50019,20240504,0,0.00%,7.1116666667,6.485278,144.5,0.00%
50019,20240516,0,0.00%,8.5986111167,6.990833,174,2.16%
50019,20240524,0,0.00%,7.6161111167,6.034722,158,1.42%
50019,20240527,0,0.00%,8.65805555,7.052222,116,0.00%
50019,20240528,0,0.00%,7.9288888833,5.807222,156.5,2.65%
50019,20240529,0,0.00%,7.0363888833,5.363056,94.5,5.74%
50019,20240530,0,0.00%,8.4827777833,6.933889,161,2.22%
50019,20240604,0,0.00%,8.9766666667,7.083889,153.5,4.82%
50019,20240605,0,0.00%,9.72305555,7.565556,121.5,14.04%
50019,20240606,0,0.00%,9.85,7.328056,155.5,7.18%
50019,20240607,0,0.00%,9.6016666667,7.310556,136,7.59%
50019,20240610,0,0.00%,9.8716666667,8.043056,132.5,11.48%
50019,20240611,0,0.00%,9.7747222167,7.795,151.5,13.90%
