nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.113815141664284,19 - 37 kW,1290,562580,65689,20250910,65688,65690,4.85,23.0,0.48425,4.65,18.3,0.38925,16723,15.653634361532959,0.17213394107954397,41.11751408360604,4,0.00940622628849967,0.03701805184506322,3.935483,0.542825,-0.5577804981899962,0.24273,,0.007484084394762781,0.03549153424320495,4.742268,0.654105,-0.6445349693762644,0.24273,,0.010996420198912,0.03705568926880872,3.3697956788223733,0.4647994039754998,0.3362990722306592,-0.48815219757287476,,"dhi, zwaar"
69595,Ballast Nedam,Generatoren,Dieselgeneratoren,"332 (diameter: 69 mm)2015, motor 2024",Bredenoord,Bryan 40,2024,41.9,Stage-V,A,4.281408870176824,37 - 56 kW,2227,568878,69595,20251118,,69593,,,,2.033333,10.97,0.229567,7003,13.151356717306408,0.22106769913909105,34.544763379117214,1,0.020152023622524252,0.1087218370719853,5.395082,0.515043,-0.03702318216864331,0.153353,,,,,,,,,0.01680949759717026,0.11364330074282021,6.760660161666646,0.6454090846459806,0.2727535193461282,-0.1894964374096566,,fpi
68330,Heijmans,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,20-10-06-0035,Caterpillar,326F,2018,149.0,Stage-IV,D,14.463580485264236,130 - 560 kW,1970,565245,68330,20251105,51746,68331,6.4,123.5,0.6989,6.633333,125.115,0.708788,37765,91.31593216030838,0.19126336766205732,239.86021648019346,10,0.0015287005368026002,0.02883367496582145,18.861558,0.50635,-0.730154337175492,0.336044,0.06899215560532905,0.0015486912361300188,0.029884901197196456,19.296875,0.518036,-0.7263365751007909,0.336044,0.06893569146871928,0.0020945235200171605,0.018232442066311243,8.704816103550781,0.23368633835035654,0.5455574186656653,-0.649416612957344,0.0684345025066532,"dhi, zwaar"
67655,Wagenborg,Mobiele hijskraan,Mobiele hijskraan 70 ton,K0717 Boven,Tadano Faun,ATF 70G-4L,2015,129.0,Stage-IV,D,12.894350875068314,56 - 130 kW,1590,561811,67655,20251002,67454,62979,3.6,12.5,0.0855,3.633333,10.136,0.072901,14809,14.29740834913628,0.14454161003243685,37.55510545201635,4,0.01426022198425778,0.03978209815407419,2.789725,0.086503,0.9827109371947829,0.159357,0.04463500522621975,0.011563328802594948,0.040150447231232456,3.472222,0.107665,0.6905451465782086,0.159357,0.04973189390740229,0.010109637110642415,0.03513740361751193,3.4756345092271195,0.10777161268921301,0.0977740600853359,0.4783226748105054,0.052889019858786794,fpi
67833,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-12-03-0017,Dynapac,SD2500CS/V6000TVE,2024,149.0,Stage-V,D,13.88436292097889,130 - 560 kW,1917,27955,67833,20251015,,67835,,,,6.5,88.24,0.508996,22498,75.10141214421138,0.03136513013410588,197.2694200093687,6,0.00035545251738560606,0.004825404636016288,13.575384,0.364439,-0.9383784349305183,0.32929,0.0717670895055455,,,,,,,,0.0004176370222423763,0.005018867299891938,12.017295001637166,0.3226119463526756,0.4367948455787416,-0.928192536034742,0.07173571736475938,AAM
68077,Heijmans,Asfaltverdichting,Statische wals,16-25-03-0052,Hamm,HW90B/10 drierolwals (REBUILD) H123,2019,45.0,Stage-V,A,4.707942659639846,37 - 56 kW,1951,563428,68077,20251025,68078,68076,6.4,23.5,0.502,5.55,17.415,0.37605,22344,19.29999379898705,0.2843857761417247,50.69543267175457,6,0.0163299325949885,0.051240680385896346,3.137837,0.278918,-0.24375541512638021,0.44955,,0.012101522389009562,0.04443527752214448,3.671875,0.326388,-0.43349446983720175,0.44955,,0.014735019042164177,0.0458194103149299,3.109558948231957,0.27640523984284066,0.41703320597974103,-0.3180740236892795,,dhi
67937,Heijmans,Grondwals,Trilwals,16-23-01-0005,Hamm,H120i ,2023,85.0,Stage-V,D,8.195813389018397,56 - 130 kW,1921,562829,67937,20251111,,67938,,,,1.166667,9.954,0.059585,3720,4.2891977975384235,0.007237755782211479,11.266466737018355,1,0.0007271203317471849,0.0062037888979558685,8.531997,0.401505,-0.8785305734293618,0.033716,0.0714323374954767,,,,,,,,0.0016874381000487404,0.007004282048682737,4.1508379172429635,0.1953335490467277,0.028328333106707487,-0.7445047064736137,0.070689430356073,dhc
51349,Heijmans,Heistelling,Heistelling met heihamer,38-01-03-0003 ,IHC Fundex,F3500-46 heistelling,2019,220.0,Stage-IV,D,20.944911877279207,130 - 560 kW,1982,30108,51349,20251112,,68334,,,,1.333333,1.425,0.014362,26203,68.72722208723758,0.210652997528451,180.5262890925426,7,0.14782666493224633,0.15798978764378516,1.06875,0.019431,13.667385985827254,0.099733,-0.2394523226978658,,,,,,,,0.0030650591007601426,0.02894137322745384,9.442354054535622,0.1716791646279204,0.40752005427108307,-0.4830855676409872,0.06622710840750619,boorstelling
65689,Heuvel Groep,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine < 36 kW,15154,Kobelco,SK50-SRX-7,2025,29.0,Stage-V,A,3.113815141664284,19 - 37 kW,1290,562580,65689,20251104,65688,65690,1.15,3.0,0.06575,1.133333,2.325,0.052167,2231,1.1914408406806465,0.0151130100830142,3.129566234589907,0,0.006500219390543741,0.01333501281883983,2.051471,0.282961,-0.710295587574248,0.059159,,0.0050376700276714,0.013141747898273218,2.608695,0.35982,-0.7701443333381871,0.059159,,0.012684650019534697,0.024386757421899174,1.9225408177870829,0.2651780438327011,0.02692742681361293,-0.4387503051210988,,"dhi, zwaar"
67728,De Kuiper Infra,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,33531 - KR122,Liebherr,A918,2021,120.0,Stage-IV,D,11.504142407022844,56 - 130 kW,760,562267,67728,20251125,,,,,,,,,21714,40.871840048130785,0.17572077386029133,107.35835653167278,6,,,,,,,,,,,,,,,0.00429931154685872,0.029133041163136572,6.776210759702342,0.22587369199007806,0.25086626625990616,-0.2995440300520975,0.06399687819030772,dhi
