machine_id,machine_type,timestamp,power_state,nitrogen_emission
M001,Graafmachine,2024-01-15T06:00:00,off,0
M001,Graafmachine,2024-01-15T06:01:00,idle,2.5
M001,Graafmachine,2024-01-15T06:02:00,idle,2.2
M001,Graafmachine,2024-01-15T06:03:00,idle,2.0
M001,Graafmachine,2024-01-15T06:04:00,low,3.1
M001,Graafmachine,2024-01-15T06:05:00,low,4.9
M001,Graafmachine,2024-01-15T06:06:00,low,5.4
M001,Graafmachine,2024-01-15T06:07:00,low,5.4
M001,Graafmachine,2024-01-15T06:08:00,high,6.2
M001,Graafmachine,2024-01-15T06:09:00,high,10.1
M001,Graafmachine,2024-01-15T06:10:00,high,6.4
M001,Graafmachine,2024-01-15T06:11:00,high,9.1
M001,Graafmachine,2024-01-15T06:12:00,high,10.3
M001,Graafmachine,2024-01-15T06:13:00,high,6.3
M001,Graafmachine,2024-01-15T06:14:00,high,9.3
M001,Graafmachine,2024-01-15T06:15:00,high,6.3
M001,Graafmachine,2024-01-15T06:16:00,high,6.1
M001,Graafmachine,2024-01-15T06:17:00,high,9.3
M001,Graafmachine,2024-01-15T06:18:00,high,6.3
M001,Graafmachine,2024-01-15T06:19:00,high,7.4
M001,Graafmachine,2024-01-15T06:20:00,high,6.8
M001,Graafmachine,2024-01-15T06:21:00,high,8.8
M001,Graafmachine,2024-01-15T06:22:00,high,7.3
M001,Graafmachine,2024-01-15T06:23:00,high,7.6
M001,Graafmachine,2024-01-15T06:24:00,high,8.6
M001,Graafmachine,2024-01-15T06:25:00,high,6.1
M001,Graafmachine,2024-01-15T06:26:00,high,7.0
M001,Graafmachine,2024-01-15T06:27:00,high,10.4
M001,Graafmachine,2024-01-15T06:28:00,high,9.8
M001,Graafmachine,2024-01-15T06:29:00,high,10.4
M001,Graafmachine,2024-01-15T06:30:00,high,7.2
M001,Graafmachine,2024-01-15T06:31:00,high,9.3
M001,Graafmachine,2024-01-15T06:32:00,high,10.4
M001,Graafmachine,2024-01-15T06:33:00,high,7.0
M001,Graafmachine,2024-01-15T06:34:00,high,9.8
M001,Graafmachine,2024-01-15T06:35:00,high,10.5
M001,Graafmachine,2024-01-15T06:36:00,high,7.6
M001,Graafmachine,2024-01-15T06:37:00,high,9.3
M001,Graafmachine,2024-01-15T06:38:00,high,9.8
M001,Graafmachine,2024-01-15T06:39:00,high,9.8
M001,Graafmachine,2024-01-15T06:40:00,high,9.9
M001,Graafmachine,2024-01-15T06:41:00,high,7.8
M001,Graafmachine,2024-01-15T06:42:00,high,7.5
M001,Graafmachine,2024-01-15T06:43:00,high,6.8
M001,Graafmachine,2024-01-15T06:44:00,high,9.8
M001,Graafmachine,2024-01-15T06:45:00,high,10.2
M001,Graafmachine,2024-01-15T06:46:00,high,10.3
M001,Graafmachine,2024-01-15T06:47:00,high,8.9
M001,Graafmachine,2024-01-15T06:48:00,high,7.4
M001,Graafmachine,2024-01-15T06:49:00,high,10.1
M001,Graafmachine,2024-01-15T06:50:00,high,9.8
M001,Graafmachine,2024-01-15T06:51:00,high,9.7
M001,Graafmachine,2024-01-15T06:52:00,high,8.0
M001,Graafmachine,2024-01-15T06:53:00,high,10.4
M001,Graafmachine,2024-01-15T06:54:00,high,6.4
M001,Graafmachine,2024-01-15T06:55:00,high,10.2
M001,Graafmachine,2024-01-15T06:56:00,high,6.6
M001,Graafmachine,2024-01-15T06:57:00,high,6.8
M001,Graafmachine,2024-01-15T06:58:00,high,9.5
M001,Graafmachine,2024-01-15T06:59:00,high,7.9
M001,Graafmachine,2024-01-15T06:60:00,high,8.1
M002,Mobiele kraan,2024-01-15T06:00:00,idle,1.8
M002,Mobiele kraan,2024-01-15T06:01:00,idle,1.7
M002,Mobiele kraan,2024-01-15T06:02:00,low,5.4
M002,Mobiele kraan,2024-01-15T06:03:00,low,4.8
M002,Mobiele kraan,2024-01-15T06:04:00,low,4.7
M002,Mobiele kraan,2024-01-15T06:05:00,high,10.1
M002,Mobiele kraan,2024-01-15T06:06:00,high,6.8
M002,Mobiele kraan,2024-01-15T06:07:00,high,9.6
M002,Mobiele kraan,2024-01-15T06:08:00,high,7.3
M002,Mobiele kraan,2024-01-15T06:09:00,high,10.3
M002,Mobiele kraan,2024-01-15T06:10:00,high,8.3
M002,Mobiele kraan,2024-01-15T06:11:00,high,9.5
M002,Mobiele kraan,2024-01-15T06:12:00,idle,1.5
M002,Mobiele kraan,2024-01-15T06:13:00,idle,2.3
M002,Mobiele kraan,2024-01-15T06:14:00,idle,1.9
M002,Mobiele kraan,2024-01-15T06:15:00,low,4.2
M002,Mobiele kraan,2024-01-15T06:16:00,low,5.5
M002,Mobiele kraan,2024-01-15T06:17:00,low,3.3
M002,Mobiele kraan,2024-01-15T06:18:00,low,5.1
M002,Mobiele kraan,2024-01-15T06:19:00,low,4.2
M002,Mobiele kraan,2024-01-15T06:20:00,high,9.7
M002,Mobiele kraan,2024-01-15T06:21:00,high,9.4
M002,Mobiele kraan,2024-01-15T06:22:00,high,6.3
M002,Mobiele kraan,2024-01-15T06:23:00,high,8.8
M002,Mobiele kraan,2024-01-15T06:24:00,high,8.3
M002,Mobiele kraan,2024-01-15T06:25:00,high,8.5
M002,Mobiele kraan,2024-01-15T06:26:00,high,10.1
M002,Mobiele kraan,2024-01-15T06:27:00,idle,2.2
M002,Mobiele kraan,2024-01-15T06:28:00,idle,1.8
M002,Mobiele kraan,2024-01-15T06:29:00,idle,1.8
M002,Mobiele kraan,2024-01-15T06:30:00,low,5.3
M002,Mobiele kraan,2024-01-15T06:31:00,low,3.1
M002,Mobiele kraan,2024-01-15T06:32:00,low,4.1
M002,Mobiele kraan,2024-01-15T06:33:00,low,3.2
M002,Mobiele kraan,2024-01-15T06:34:00,low,3.1
M002,Mobiele kraan,2024-01-15T06:35:00,high,8.7
M002,Mobiele kraan,2024-01-15T06:36:00,high,7.5
M002,Mobiele kraan,2024-01-15T06:37:00,high,8.4
M002,Mobiele kraan,2024-01-15T06:38:00,high,8.7
M002,Mobiele kraan,2024-01-15T06:39:00,high,9.8
M002,Mobiele kraan,2024-01-15T06:40:00,high,10.3
M002,Mobiele kraan,2024-01-15T06:41:00,high,8.8
M002,Mobiele kraan,2024-01-15T06:42:00,idle,2.0
M002,Mobiele kraan,2024-01-15T06:43:00,idle,2.5
M002,Mobiele kraan,2024-01-15T06:44:00,idle,2.1
M002,Mobiele kraan,2024-01-15T06:45:00,low,4.1
M002,Mobiele kraan,2024-01-15T06:46:00,low,4.8
M002,Mobiele kraan,2024-01-15T06:47:00,low,4.6
M002,Mobiele kraan,2024-01-15T06:48:00,low,3.1
M002,Mobiele kraan,2024-01-15T06:49:00,low,5.3
M002,Mobiele kraan,2024-01-15T06:50:00,high,8.6
M002,Mobiele kraan,2024-01-15T06:51:00,high,8.3
M002,Mobiele kraan,2024-01-15T06:52:00,high,7.8
M002,Mobiele kraan,2024-01-15T06:53:00,high,7.8
M002,Mobiele kraan,2024-01-15T06:54:00,high,8.5
M002,Mobiele kraan,2024-01-15T06:55:00,high,6.7
M002,Mobiele kraan,2024-01-15T06:56:00,high,7.3
M002,Mobiele kraan,2024-01-15T06:57:00,idle,2.1
M002,Mobiele kraan,2024-01-15T06:58:00,idle,2.0
M002,Mobiele kraan,2024-01-15T06:59:00,idle,2.4
M002,Mobiele kraan,2024-01-15T06:60:00,low,5.5
M003,Graafmachine,2024-01-15T06:00:00,off,0
M003,Graafmachine,2024-01-15T06:01:00,off,0
M003,Graafmachine,2024-01-15T06:02:00,off,0
M003,Graafmachine,2024-01-15T06:03:00,idle,2.4
M003,Graafmachine,2024-01-15T06:04:00,idle,2.5
M003,Graafmachine,2024-01-15T06:05:00,idle,1.7
M003,Graafmachine,2024-01-15T06:06:00,idle,2.0
M003,Graafmachine,2024-01-15T06:07:00,idle,2.0
M003,Graafmachine,2024-01-15T06:08:00,idle,1.6
M003,Graafmachine,2024-01-15T06:09:00,idle,1.8
M003,Graafmachine,2024-01-15T06:10:00,idle,1.5
M003,Graafmachine,2024-01-15T06:11:00,low,5.0
M003,Graafmachine,2024-01-15T06:12:00,low,3.3
M003,Graafmachine,2024-01-15T06:13:00,low,3.6
M003,Graafmachine,2024-01-15T06:14:00,low,5.2
M003,Graafmachine,2024-01-15T06:15:00,low,4.7
M003,Graafmachine,2024-01-15T06:16:00,idle,1.7
M003,Graafmachine,2024-01-15T06:17:00,idle,2.5
M003,Graafmachine,2024-01-15T06:18:00,idle,1.8
M003,Graafmachine,2024-01-15T06:19:00,idle,2.3
M003,Graafmachine,2024-01-15T06:20:00,low,5.4
M003,Graafmachine,2024-01-15T06:21:00,low,5.3
M003,Graafmachine,2024-01-15T06:22:00,low,3.4
M003,Graafmachine,2024-01-15T06:23:00,low,3.4
M003,Graafmachine,2024-01-15T06:24:00,low,4.6
M003,Graafmachine,2024-01-15T06:25:00,low,3.2
M003,Graafmachine,2024-01-15T06:26:00,idle,2.2
M003,Graafmachine,2024-01-15T06:27:00,idle,2.0
M003,Graafmachine,2024-01-15T06:28:00,idle,2.3
M003,Graafmachine,2024-01-15T06:29:00,idle,1.9
M003,Graafmachine,2024-01-15T06:30:00,low,4.0
M003,Graafmachine,2024-01-15T06:31:00,low,5.4
M003,Graafmachine,2024-01-15T06:32:00,low,3.9
M003,Graafmachine,2024-01-15T06:33:00,low,3.6
M003,Graafmachine,2024-01-15T06:34:00,low,4.4
M003,Graafmachine,2024-01-15T06:35:00,low,4.0
M003,Graafmachine,2024-01-15T06:36:00,idle,2.0
M003,Graafmachine,2024-01-15T06:37:00,idle,1.9
M003,Graafmachine,2024-01-15T06:38:00,idle,1.7
M003,Graafmachine,2024-01-15T06:39:00,idle,1.5
M003,Graafmachine,2024-01-15T06:40:00,low,4.1
M003,Graafmachine,2024-01-15T06:41:00,low,4.0
M003,Graafmachine,2024-01-15T06:42:00,low,4.8
M003,Graafmachine,2024-01-15T06:43:00,low,4.3
M003,Graafmachine,2024-01-15T06:44:00,low,5.5
M003,Graafmachine,2024-01-15T06:45:00,low,4.5
M003,Graafmachine,2024-01-15T06:46:00,idle,2.4
M003,Graafmachine,2024-01-15T06:47:00,idle,2.1
M003,Graafmachine,2024-01-15T06:48:00,idle,1.9
M003,Graafmachine,2024-01-15T06:49:00,idle,1.5
M003,Graafmachine,2024-01-15T06:50:00,low,4.2
M003,Graafmachine,2024-01-15T06:51:00,low,3.4
M003,Graafmachine,2024-01-15T06:52:00,low,4.8
M003,Graafmachine,2024-01-15T06:53:00,low,3.9
M003,Graafmachine,2024-01-15T06:54:00,low,4.9
M003,Graafmachine,2024-01-15T06:55:00,low,4.9
M003,Graafmachine,2024-01-15T06:56:00,idle,2.1
M003,Graafmachine,2024-01-15T06:57:00,idle,2.5
M003,Graafmachine,2024-01-15T06:58:00,idle,1.7
M003,Graafmachine,2024-01-15T06:59:00,idle,2.5
M003,Graafmachine,2024-01-15T06:60:00,low,3.1
M004,Torenkraan,2024-01-15T06:00:00,idle,1.8
M004,Torenkraan,2024-01-15T06:01:00,idle,1.4
M004,Torenkraan,2024-01-15T06:02:00,idle,2.5
M004,Torenkraan,2024-01-15T06:03:00,idle,2.2
M004,Torenkraan,2024-01-15T06:04:00,low,4.9
M004,Torenkraan,2024-01-15T06:05:00,low,4.2
M004,Torenkraan,2024-01-15T06:06:00,low,4.1
M004,Torenkraan,2024-01-15T06:07:00,low,3.2
M004,Torenkraan,2024-01-15T06:08:00,low,5.2
M004,Torenkraan,2024-01-15T06:09:00,high,10.4
M004,Torenkraan,2024-01-15T06:10:00,high,10.1
M004,Torenkraan,2024-01-15T06:11:00,high,9.8
M004,Torenkraan,2024-01-15T06:12:00,high,10.5
M004,Torenkraan,2024-01-15T06:13:00,high,7.1
M004,Torenkraan,2024-01-15T06:14:00,high,7.2
M004,Torenkraan,2024-01-15T06:15:00,high,6.4
M004,Torenkraan,2024-01-15T06:16:00,high,8.1
M004,Torenkraan,2024-01-15T06:17:00,high,7.0
M004,Torenkraan,2024-01-15T06:18:00,high,7.5
M004,Torenkraan,2024-01-15T06:19:00,high,6.9
M004,Torenkraan,2024-01-15T06:20:00,high,8.2
M004,Torenkraan,2024-01-15T06:21:00,high,9.3
M004,Torenkraan,2024-01-15T06:22:00,high,7.9
